Italian,English
sono,I am
io,I
il suo,his
che,that
lui,he
era,he/she was
per,for
su,on
come,as/like
con,with
loro,they
essere,to be
a,at
uno,one
avere,to have
questo,this
da,from
di,by
caldo,hot
parola,word
ma,but
cosa,what
alcuni,some
è,is
quello,that
voi,you (pl)
o,or
aveva,had
il,the
di,of
a,to
e,and
un,a
in,in
noi,we
lattina,can (of soda)
fuori,out
altro,other
erano,were
che / quale,which
fare,to do/make
loro,their
tempo,time
se,if
volontà,will
come,how
detto,said
un,an
ogni,each
dire,tell
fa,does
fisso,set (unchanging)
tre,three
desiderare,desire
aria,air
bene,well
anche,also
giocare,play
piccolo,small
fine,end
mettere,put
casa,home
leggere,read
mano,hand
portare,carry
grande,large
compitare,spell (words)
aggiungere,add
anche,even/also
terra,land
qui,here
devo,I must
grande,big
alto,high/tall
tale,such
seguire,follow
atto,an act
perché,why
chiedere,ask
maschi,men
cambiamento,a change
è andato,he/she went
luce,light
tipo,kind (of thing)
spento,turned off
bisogno,need
casa,house
immagine,image
provare,try
noi,us
di nuovo,again
animale,animal
punto,point
madre,mother
mondo,world
vicino,near
costruire,build
se stesso,himself
terra,earth
padre,father
